"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
293.906;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""jobercar""";Municipalidad de Tucapel
54.294;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""RIZZIERCI RENE ANTONIO MUNOZ FUENTES""";Municipalidad de Parral
85.563;3;Bebidas y comidas infantiles;"""MARIA INES""";Municipalidad de Talcahuano
22.100;1;Aceites vegetales y grasas comestibles;"""LOS PRODUCTORES""";Municipalidad de El Carmen
895.303;1;Empanadas, tartas y pies;"""banqueteria san pablo""";Municipalidad de San Pablo
4.485.528;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Quilicura
5.304.390;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DEMERCADO""";Municipalidad de Huechuraba
848.517;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Punto Rabie""";Municipalidad de Monte Patria
2.149.179;2;Empanadas, tartas y pies;"""CECINAS LANALHUE NEFTALI NEIRA EIRL""";Municipalidad de Contulmo
1.346.402;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO GHISELLINI""";Municipalidad de Los Sauces
91.005;1;Acompañamientos preparados;"""Supermercado yTransporte Lorenzo Muñoz Canobi EIRL""";Municipalidad de Nueva Imperial
601.522;1;Ensaladas preparadas;"""Redoffice""";Municipalidad de Coquimbo
146.377;1;Empanadas, tartas y pies;"""virginia tapia""";Municipalidad de Longaví
318.070;1;Empanadas, tartas y pies;"""Amanda Gricelda""";Municipalidad de Bulnes
21.112;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Luvaly SPA""";Municipalidad de La Unión
155.248;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Retiro
4.767.928;6;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Manuel Navarro Gomez""";Municipalidad de Paillaco
392.373;1;Acompañamientos preparados;"""SUPERMERCADO Y FERRETERIA LOS PEREZ""";Municipalidad de Tirúa
1.324.812;2;Aceites vegetales y grasas comestibles;"""Maria Noelia""";Municipalidad de Calbuco
71.200;1;Bebidas y comidas infantiles;"""Centro Pan""";Municipalidad de Quillón
1.487.556;1;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Quillón
637.361;1;Aceites vegetales y grasas comestibles;"""Distribuidora Pec""";Municipalidad de La Ligua
1.476.078;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de San Antonio
31.288;1;Aceites vegetales y grasas comestibles;"""Richard Eduardo """;Municipalidad de Cisnes
122.370;2;Ensaladas preparadas;"""Luvaly SPA""";Municipalidad de Monte Patria
801.094;3;Aceites vegetales y grasas comestibles;"""INVERSIONES CHAVES Y COMPAÑIA LIMITADA""";Municipalidad de Penco
5.624.427;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Ramón Anibal""";Municipalidad de Monte Patria
362.210;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Chimbarongo
867.767;3;Acompañamientos preparados;"""SORAYA ANICH ALLEL""";Municipalidad de Rio Hurtado
703.185;4;Aceites vegetales y grasas comestibles;"""MARCELO FERNANDO GAJARDO MENDOZA""";Municipalidad de Mulchén
524.568;1;Acompañamientos preparados;"""CABANAS REST EVENTOS LA VALENCIANA - PUYEHUE""";Municipalidad de Puerto Montt
310.497;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Pencahue
4.603.562;5;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Catemu
3.839.405;5;Acompañamientos preparados;"""CONSORCIO CHILLAN UNO S.A.""";Municipalidad de Empedrado
128.275;1;Acompañamientos preparados;"""michele angelo""";Municipalidad de Bulnes
16.580;1;Bebidas y comidas infantiles;"""maco""";Municipalidad de Los Lagos
31.605;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""BRAULIO RODRIGO""";Municipalidad de Hualaihue
529.157;2;Empanadas, tartas y pies;"""COMERCIAL ESTEFITA LTDA.""";Municipalidad de Camarones
748.655;3;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Cañete
394.817;1;Empanadas, tartas y pies;"""juan carlos viñuela arevalo""";Municipalidad de Mulchén
925.662;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de San Pedro de la Paz
550.885;1;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Los Ángeles
815.687;1;Ensaladas preparadas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de San Bernardo
637.464;7;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""MARIA INES""";Municipalidad de Talcahuano
1.890.059;11;Aceites vegetales y grasas comestibles;"""Comercial Javiera""";Municipalidad de Pinto
426.964;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Luvaly SPA""";Municipalidad de Talca
3.600.937;14;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""MANUEL PADILLA RODRIGUEZ""";Municipalidad de Pichilemu
257.000;1;Empanadas, tartas y pies;"""Said Mauricio Tarzijan Julian""";Municipalidad de Osorno
764.822;2;Empanadas, tartas y pies;"""La Posada""";Municipalidad de Quilaco
812.089;1;Empanadas, tartas y pies;"""Panificadora santa Cruz ltda.""";Municipalidad de Nancagua
254.858;1;Empanadas, tartas y pies;"""MARISOL""";Municipalidad de San Nicolás
5.684.390;14;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA REGIONAL VALDIVIA LTDA.""";Municipalidad de Valdivia
422.120;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL AMAR HERMANOS Y CIA""";Municipalidad de Victoria
1.465.098;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Punto Rabie""";Municipalidad de Pitrufquén
667.486;4;Empanadas, tartas y pies;"""SUPERMERCADO COMBARBALA""";Municipalidad de Combarbalá
3.736.674;2;Aceites vegetales y grasas comestibles;"""BORIS ALEXIS """;Municipalidad de Pemuco
1.081.812;3;Acompañamientos preparados;"""Javiera Constanza Romero Romero""";Municipalidad de Yerbas Buenas
4.600.754;4;Acompañamientos preparados;"""MILDREN MUÑOZ GUTIERREZ""";Municipalidad de Hualqui
2.441.606;2;Aceites vegetales y grasas comestibles;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Recoleta
92.358;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Olimpia""";Municipalidad de Talcahuano
473.943;1;Aceites vegetales y grasas comestibles;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Talca
1.419.518;2;Empanadas, tartas y pies;"""ORIANA """;Municipalidad de Nueva Imperial
3.167.212;3;Empanadas, tartas y pies;"""RESTAURANT ANITA""";Municipalidad de Iquique
3.978.679;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Retro pizzas""";Municipalidad de Nacimiento
594.852;2;Empanadas, tartas y pies;"""Mara Elena Robinson Robinson""";Municipalidad de Timaukel
596.052;3;Acompañamientos preparados;"""Ricardo Tapia Quezada""";Municipalidad de Maipú
44.876;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Distribuidora Surmontt""";Municipalidad de Puerto Montt
683.988;2;Bebidas y comidas infantiles;"""La Posada""";Municipalidad de Quilaco
3.202.632;6;Empanadas, tartas y pies;"""BETTY DEL CARMEN """;Municipalidad de Dalcahue
418.531;3;Empanadas, tartas y pies;"""Patricia del Carmen""";Municipalidad de Chillán Viejo
678.535;1;Empanadas, tartas y pies;"""Blanca Guerrero""";Municipalidad de Nancagua
146.174;1;Bebidas y comidas infantiles;"""Josefina Arenas Vasquez - casa matriz""";Municipalidad de San Fernando
193.810;2;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Tirúa
120.550;1;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de San Carlos
1.010.026;1;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de La Pintana
594.803;4;Acompañamientos preparados;"""las delicias""";Municipalidad de Camarones
126.281;2;Grasas y aceites animales comestibles;"""COMERCIAL AMAR HERMANOS Y CIA""";Municipalidad de Victoria
505.720;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Distribuidora Glase""";Municipalidad de Calama
352.670;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Karina Marlene""";Municipalidad de Freirina
41.445;1;Aceites vegetales y grasas comestibles;"""Luis Osvaldo Mellado Reyes""";Municipalidad de Colbún
2.184.376;5;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Cañete
912.546;10;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""ComercialrRossy""";Municipalidad de El Carmen
1.916.439;7;Empanadas, tartas y pies;"""Liseth Diaz Ramirez """;Municipalidad de Victoria
1.594.128;76;Acompañamientos preparados;"""RODRIGO """;Municipalidad de Contulmo
635.071;2;Grasas y aceites animales comestibles;"""G & S""";Municipalidad de Los Andes
814.643;1;Acompañamientos preparados;"""Puestos Varios Patricia""";Municipalidad de Pencahue
3.997.556;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""G & S""";Municipalidad de Los Andes
3.114.421;3;Aceites vegetales y grasas comestibles;"""SUPERMERCADO SAN RAFAEL""";Municipalidad de Licantén
13.108.006;1;Aceites vegetales y grasas comestibles;"""Distribuidora Pec""";Municipalidad de Providencia
379.477;1;Bebidas y comidas infantiles;"""COMERCIAL MDC LIMITADA""";Municipalidad de Puente Alto
387.023;1;Acompañamientos preparados;"""Retro pizzas""";Municipalidad de Santa Bárbara
11.250.554;8;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""CABANAS REST EVENTOS LA VALENCIANA - PUYEHUE""";Municipalidad de Los Muermos
390.823;1;Aceites vegetales y grasas comestibles;"""Distribuidora Pec""";Municipalidad de Puchuncaví
2.201.002;3;Empanadas, tartas y pies;"""CRISTIAN FELIPE""";Municipalidad de Lonquimay
674.502;1;Empanadas, tartas y pies;"""Francesca Natalia""";Municipalidad de Til Til
197.335;1;Aceites vegetales y grasas comestibles;"""M&L""";Municipalidad de Recoleta
646.420;3;Aceites vegetales y grasas comestibles;"""Magali Cantergiani H""";Municipalidad de Traiguén
329.555;1;Grasas y aceites animales comestibles;"""Supermercado Arancibia-II""";Municipalidad de Cabildo
871.021;1;Acompañamientos preparados;"""Lessly Karen """;Municipalidad de Cauquenes
1.666.530;1;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Negrete
236.862;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Macro Food S.A.""";Municipalidad de Recoleta
5.192.140;16;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""NOELLY ISABEL ALMENDRAS RIVEROS""";Municipalidad de Quilleco
176.954;1;Grasas y aceites animales comestibles;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Pitrufquén
147.645;1;Grasas y aceites animales comestibles;"""NOELLY ISABEL ALMENDRAS RIVEROS""";Municipalidad de Quilleco
82.248;2;Bebidas y comidas infantiles;"""Chucri Hazín y Cía.Ltda.""";Municipalidad de Mulchén
2.266.296;3;Aceites vegetales y grasas comestibles;"""Javiera Constanza Romero Romero""";Municipalidad de Pelarco
108.945;1;Aceites vegetales y grasas comestibles;"""HUERTOS DEL SUR""";Municipalidad de Recoleta
772.242;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""PRISA S.A.""";Municipalidad de Quinta de Tilcoco
687.644;1;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de Coyhaique
19.180.302;81;Empanadas, tartas y pies;"""Carolina""";Municipalidad de Catemu
5.442.690;1;Aceites vegetales y grasas comestibles;"""Sociedad Comercializadora Aquimin del Norte limita""";Municipalidad de Tierra Amarilla
724.360;4;Aceites vegetales y grasas comestibles;"""ANDREA PINILLA LLANOS E.I.R.L.""";Municipalidad de Futaleufú
297.502;1;Aceites vegetales y grasas comestibles;"""ELSA BELTRAN ROCHA Y CIA. LTDA.""";Municipalidad de Purén
4.225.848;3;Aceites vegetales y grasas comestibles;"""Dist. y Comerc. Gabriela Paiva Caceres E.I.R.L.""";Municipalidad de Cauquenes
64.788;2;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Chillán
823.703;3;Bebidas y comidas infantiles;"""SORAYA ANICH ALLEL""";Municipalidad de Ovalle
370.287;2;Empanadas, tartas y pies;"""MARCELO """;Municipalidad de Taltal
408.997;1;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Nueva Imperial
1.003.796;4;Aceites vegetales y grasas comestibles;"""VICTOR GREGORIO""";Municipalidad de Rio Hurtado
19.366.075;34;Aceites vegetales y grasas comestibles;"""ComercialrRossy""";Municipalidad de Cabrero
1.433.748;11;Empanadas, tartas y pies;"""israel""";Municipalidad de Purranque
5.728.337;14;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de San Pedro de la Paz
286.042;1;Empanadas, tartas y pies;"""Margarita """;Municipalidad de San Rafael
395.278;1;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de Santa Bárbara
1.426.535;4;Empanadas, tartas y pies;"""tortas briso""";Municipalidad de Sagrada Familia
1.459.693;2;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Quilpue
107.579;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIALIZADORA BYB LTDA.""";Municipalidad de Valparaíso
319.956;2;Aceites vegetales y grasas comestibles;"""las delicias""";Municipalidad de Camarones
421.124;1;Empanadas, tartas y pies;"""Rita de las Mercedes""";Municipalidad de Peralillo
585.828;2;Aceites vegetales y grasas comestibles;"""san sebastian""";Municipalidad de Coyhaique
2.985.042;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Renca
151.077;1;Empanadas, tartas y pies;"""Richard Muñoz Chanilao""";Municipalidad de Constitución
983.119;11;Empanadas, tartas y pies;"""ComercialrRossy""";Municipalidad de Chillán Viejo
26.747;1;Aceites vegetales y grasas comestibles;"""PROVEDORES INTEGRALES DEL SUR LTDA.""";Municipalidad de Pitrufquén
122.894;2;Bebidas y comidas infantiles;"""SUPERMERCADO COMBARBALA""";Municipalidad de Combarbalá
1.236.215;6;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""URZUA SCHWALM Y CIA LIMITADA""";Municipalidad de Lago Ranco
214.175;1;Ensaladas preparadas;"""RED OFFICE SUR LTDA.""";Municipalidad de Angol
994.584;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Comercial Antuco""";Municipalidad de Lota
780.910;7;Empanadas, tartas y pies;"""Manuel Navarro Gomez""";Municipalidad de Paillaco
36.235.585;1;Aceites vegetales y grasas comestibles;"""Super 10 S.A.""";Municipalidad de Providencia
6.242.582;41;Aceites vegetales y grasas comestibles;"""ELINA FLORINDA""";Municipalidad de Tirúa
457.698;2;Empanadas, tartas y pies;"""CLAUDIA DEL CARMEN""";Municipalidad de Longaví
68.884;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""PRISA S.A.""";Municipalidad de Til Til
559.535;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de La Cisterna
2.676.724;5;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""RED OFFICE SUR LTDA.""";Municipalidad de Temuco
370.567;1;Aceites vegetales y grasas comestibles;"""Prodelab""";Municipalidad de Curanilahue
179.126;3;Ensaladas preparadas;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Pitrufquén
229.409;2;Ensaladas preparadas;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Santa Juana
357.920;1;Empanadas, tartas y pies;"""INES DEL CARMEN  ORDENES ALFARO""";Municipalidad de Coquimbo
13.036.080;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUSAN CATERINA""";Municipalidad de Monte Patria
48.394;2;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Macúl
1.693.749;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Conchalí
892.569;1;Aceites vegetales y grasas comestibles;"""Victor Ivan""";Municipalidad de Lota
827.319;2;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Quilicura
524.368;3;Bebidas y comidas infantiles;"""SUPERMERCADO GHISELLINI""";Municipalidad de Lumaco
64.208;1;Bebidas y comidas infantiles;"""Karina Marlene""";Municipalidad de Freirina
2.337.195;3;Aceites vegetales y grasas comestibles;"""Abastecedora del Comercio Ltda.""";Municipalidad de Lago Verde
75.155;1;Aceites vegetales y grasas comestibles;"""ENRIQUE""";Municipalidad de San Clemente
978.756;6;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Freire
213.935;1;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Cobquecura
7.449.886;9;Empanadas, tartas y pies;"""COMERCIAL ESTEFITA LTDA.""";Municipalidad de Arica
2.625.989;8;Acompañamientos preparados;"""Comercial Fouad E.I.R.L.""";Municipalidad de Panguipulli
52.988;1;Grasas y aceites animales comestibles;"""Supermercado Holzapfel""";Municipalidad de Toltén
204.223;1;Aceites vegetales y grasas comestibles;"""LOGSA CHILE LIMITADA""";Municipalidad de La Pintana
806.789;1;Empanadas, tartas y pies;"""Sociedad Panificadora Santa Gema.""";Municipalidad de Lampa
503.966;2;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Vallenar
980.187;2;Aceites vegetales y grasas comestibles;"""Redoffice""";Municipalidad de Vallenar
261.983;2;Aceites vegetales y grasas comestibles;"""Javiera Constanza Romero Romero""";Municipalidad de Colbún
2.976.348;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de La Serena
268.988;1;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de La Calera
646.323;5;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""karol""";Municipalidad de Lago Ranco
1.240.453;1;Aceites vegetales y grasas comestibles;"""su-yin anyelina""";Municipalidad de Arica
9.006.396;5;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Coinco
394.653;1;Acompañamientos preparados;"""Raul Eugenio Montecinos Araya""";Municipalidad de Coyhaique
1.058.855;2;Empanadas, tartas y pies;"""Erick Alejandro""";Municipalidad de La Higuera
1.064.576;5;Ensaladas preparadas;"""SUPERMERCADO GHISELLINI""";Municipalidad de Lumaco
1.081.154;2;Grasas y aceites animales comestibles;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Freire
388.703;1;Aceites vegetales y grasas comestibles;"""HUERTOS DEL SUR""";Municipalidad de Santiago
3.241.023;2;Aceites vegetales y grasas comestibles;"""pasteleria tatiyan Ltda.""";Municipalidad de Los Ángeles
587.262;3;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de El Bosque
313.259;1;Aceites vegetales y grasas comestibles;"""COMERCIAL MDC LIMITADA""";Municipalidad de Recoleta
361.210;1;Aceites vegetales y grasas comestibles;"""LOSENCINOS""";Municipalidad de Peralillo
255.996;2;Empanadas, tartas y pies;"""OLGA DEL CARMEN CANALES ORELLANA""";Municipalidad de Collipulli
1.367.748;2;Aceites vegetales y grasas comestibles;"""NIKOS""";Municipalidad de María Elena
133.553;1;Aceites vegetales y grasas comestibles;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Coinco
5.177.860;5;Aceites vegetales y grasas comestibles;"""La paloma""";Municipalidad de Putre
2.875.080;9;Aceites vegetales y grasas comestibles;"""Comercial Fouad E.I.R.L.""";Municipalidad de Panguipulli
401.867;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Antofagasta
84.684;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de Algarrobo
6.705.533;3;Empanadas, tartas y pies;"""SUPERMERCADO GHISELLINI""";Municipalidad de Los Sauces
2.652.195;1;Bebidas y comidas infantiles;"""DEMERCADO""";Municipalidad de Huechuraba
75.405;1;Empanadas, tartas y pies;"""Victoria""";Municipalidad de Nancagua
410.807;1;Acompañamientos preparados;"""William Ijha Telgie""";Municipalidad de Chillán Viejo
89.857;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""PROVEDORES INTEGRALES DEL SUR LTDA.""";Municipalidad de Los Lagos
5.316.360;9;Aceites vegetales y grasas comestibles;"""Nury Márquez Macías""";Municipalidad de Puerto Saavedra
139.412;1;Empanadas, tartas y pies;"""irene marilyn""";Municipalidad de San Pablo
17.918;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de San Pedro
203.607;1;Aceites vegetales y grasas comestibles;"""Luvaly SPA""";Municipalidad de Cauquenes
575.252;2;Empanadas, tartas y pies;"""rincon verde""";Municipalidad de Curicó
3.884.059;9;Aceites vegetales y grasas comestibles;"""BLANCA ESTER JORQUERA ALARCON""";Municipalidad de Yerbas Buenas
1.584.649;5;Acompañamientos preparados;"""Supermercado San Roberto""";Municipalidad de Navidad
537.349;3;Bebidas y comidas infantiles;"""Roxana Paola """;Municipalidad de Las Cabras
6.054.578;16;Aceites vegetales y grasas comestibles;"""ComercialrRossy""";Municipalidad de San Ignacio
3.395.870;14;Empanadas, tartas y pies;"""SUPERMERCADO GHISELLINI""";Municipalidad de Lumaco
845.590;2;Empanadas, tartas y pies;"""YESSICA ALICIA""";Municipalidad de Renaico
498.660;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""San José""";Municipalidad de Peralillo
355.844;1;Empanadas, tartas y pies;"""Comercial Amy Ltda""";Municipalidad de San Pedro de la Paz
3.060.501;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DISTRIBUIDORA Y COMERCIAL DIMAK LIMITADA""";Municipalidad de Río Ibáñez
5.775.014;2;Empanadas, tartas y pies;"""FERRETERIA Y SUPERMERCADO LA COLERICA""";Municipalidad de Cobquecura
6.139.298;12;Aceites vegetales y grasas comestibles;"""Comercial Flor María""";Municipalidad de Monte Patria
341.610;3;Empanadas, tartas y pies;"""Juana del carmen """;Municipalidad de Los Muermos
678.308;4;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Concepción
370.836;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Servicios Integrados Sidapt Ltda.""";Municipalidad de Huechuraba
126.212;1;Grasas y aceites animales comestibles;"""SUPERMERCADO Y PANADERIA BRICEÑO""";Municipalidad de Hualqui
16.366.851;3;Ensaladas preparadas;"""HUERTOS DEL SUR""";Municipalidad de Independencia
430.308;1;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Cartagena
15.693.383;1;Acompañamientos preparados;"""Roberto Alejandro """;Municipalidad de Talca
382.730;1;Bebidas y comidas infantiles;"""rincon verde""";Municipalidad de Curicó
437.106;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""RED OFFICE SUR LTDA.""";Municipalidad de Angol
169.572;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Zabeth del Carmen Cerda Etchepare""";Municipalidad de Padre Las Casas
4.938.960;2;Aceites vegetales y grasas comestibles;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Catemu
2.239.740;3;Aceites vegetales y grasas comestibles;"""Pierre Bedros Barsom Esso Comercializadora y Distr""";Municipalidad de Río Bueno
145.386;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Penco
1.367.748;2;Acompañamientos preparados;"""NIKOS""";Municipalidad de María Elena
15.129.546;36;Empanadas, tartas y pies;"""Claudio Alejandro""";Municipalidad de Rio Hurtado
446.417;1;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Puchuncaví
64.515;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Luvaly SPA""";Municipalidad de Freire
291.936;3;Bebidas y comidas infantiles;"""Olimpia""";Municipalidad de Talcahuano
233.249;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""DIMERC S.A.""";Municipalidad de La Unión
22.817;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""MIRIAM SONIA""";Municipalidad de Purén
207.566;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Estación Central
252.056;1;Empanadas, tartas y pies;"""Anyela fernanda""";Municipalidad de Colbún
2.573.685;7;Acompañamientos preparados;"""BLANCA ESTER JORQUERA ALARCON""";Municipalidad de Yerbas Buenas
778.092;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Gloria de las Mercedes Cañete Duran""";Municipalidad de San Ramón
5.650.859;2;Empanadas, tartas y pies;"""SUPERMERCADO LA VERBENA""";Municipalidad de Macúl
423.624;2;Empanadas, tartas y pies;"""Restaurant Alejandra Olivares Rosas EIRL""";Municipalidad de Florida
101.206;1;Acompañamientos preparados;"""Comercial Flor María""";Municipalidad de Monte Patria
139.500;1;Bebidas y comidas infantiles;"""Gonzalo Javier""";Municipalidad de Guaitecas
102.025;1;Grasas y aceites animales comestibles;"""DISTRIBUIDORA REGIONAL VALDIVIA LTDA.""";Municipalidad de Máfil
214.248;1;Bebidas y comidas infantiles;"""hada schweitzer aravena""";Municipalidad de Lonquimay
1.524.831;1;Aceites vegetales y grasas comestibles;"""Pablo Agustin""";Municipalidad de Romeral
4.983.650;21;Aceites vegetales y grasas comestibles;"""SUPERMERCADO AGUAS AZULES""";Municipalidad de Los Muermos
104.283;3;Bebidas y comidas infantiles;"""Patty""";Municipalidad de Salamanca
132.378;1;Aceites vegetales y grasas comestibles;"""Distribucion Global Ltda """;Municipalidad de Nogales
260.483;3;Aceites vegetales y grasas comestibles;"""Ivan Cid Lantaño""";Municipalidad de Alto BíoBio
128.182;1;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Diego de Almagro
378.195;1;Empanadas, tartas y pies;"""Pan Recoleta""";Municipalidad de San José de Maipo
